ctools	Chaos tool suite (ctools)
views	Views
token	Token
libraries	Libraries API
entity	Entity API
pathauto	Pathauto
jquery_update	jQuery Update
admin_menu	Administration menu
webform	Webform
date	Date
imce	IMCE
ckeditor	CKEditor - WYSIWYG HTML editor
link	Link
module_filter	Module Filter
google_analytics	Google Analytics
metatag	Metatag
wysiwyg	Wysiwyg
rules	Rules
entityreference	Entity reference
features	Features
backup_migrate	Backup and Migrate
media	Media
field_group	Field Group
xmlsitemap	XML sitemap
transliteration	Transliteration
views_bulk_operations	Views Bulk Operations (VBO)
colorbox	Colorbox
captcha	CAPTCHA
variable	Variable
views_slideshow	Views Slideshow
panels	Panels
l10n_update	Localization update
file_entity	File Entity (fieldable files)
menu_block	Menu block
devel	Devel
i18n	Internationalization
redirect	Redirect
context	Context
globalredirect	Global Redirect
block_class	Block Class
field_collection	Field collection
imce_wysiwyg	IMCE Wysiwyg bridge
menu_attributes	Menu attributes
strongarm	Strongarm
ds	Display Suite
email	Email Field
addressfield	Address Field
superfish	Superfish
mailsystem	Mail System
job_scheduler	Job Scheduler
flexslider	Flex Slider
admin_views	Administration Views
references	References
better_exposed_filters	Better Exposed Filters
smtp	SMTP Authentication Support
feeds	Feeds
special_menu_items	Special menu items
uuid	Universally Unique IDentifier
calendar	Calendar
recaptcha	reCAPTCHA
views_data_export	Views data export
media_youtube	Media: YouTube
honeypot	Honeypot
site_map	Site map
node_clone	Node clone
mimemail	Mime Mail
diff	Diff
imagecache_actions	ImageCache Actions
views_php	Views PHP
multiupload_filefield_widget	Multiupload Filefield Widget
plupload	Plupload integration
lightbox2	Lightbox2
search_api	Search API
advanced_help	Advanced help
page_title	Page Title
taxonomy_menu	Taxonomy menu
quicktabs	Quick Tabs
multiupload_imagefield_widget	Multiupload Imagefield Widget
field_permissions	Field Permissions
inline_entity_form	Inline Entity Form
filefield_sources	FileField Sources
votingapi	Voting API
insert	Insert
scheduler	Scheduler
adminimal_admin_menu	Adminimal Administration Menu
facetapi	Facet API
conditional_fields	Conditional Fields
