contact-form-7	Contact Form 7
wordpress-seo	Yoast SEO
akismet	Akismet Anti-Spam
jetpack	Jetpack by WordPress.com
wordpress-importer	WordPress Importer
woocommerce	WooCommerce
all-in-one-seo-pack	All in One SEO Pack
google-sitemap-generator	Google XML Sitemaps
tinymce-advanced	TinyMCE Advanced
wordfence	Wordfence Security – Firewall & Malware Scan
limit-login-attempts	Limit Login Attempts
duplicate-post	Duplicate Post
wp-super-cache	WP Super Cache
google-analytics-for-wordpress	Google Analytics for WordPress by MonsterInsights
updraftplus	UpdraftPlus WordPress Backup Plugin
regenerate-thumbnails	Regenerate Thumbnails
siteorigin-panels	Page Builder by SiteOrigin
advanced-custom-fields	Advanced Custom Fields
hello-dolly	Hello Dolly
google-analytics-dashboard-for-wp	Google Analytics Dashboard for WP (GADWP)
w3-total-cache	W3 Total Cache
duplicator	Duplicator – WordPress Migration Plugin
mailchimp-for-wp	MailChimp for WordPress
so-widgets-bundle	SiteOrigin Widgets Bundle
all-in-one-wp-migration	All-in-One WP Migration
really-simple-captcha	Really Simple CAPTCHA
ninja-forms	Ninja Forms – The Easy and Powerful Forms Builder
wp-smushit	Smush Image Compression and Optimization
disable-comments	Disable Comments
nextgen-gallery	NextGEN Gallery – WordPress Gallery Plugin
wpforms-lite	Contact Form by WPForms – Drag & Drop Form Builder for WordPress
wp-multibyte-patch	WP Multibyte Patch
redirection	Redirection
wp-pagenavi	WP-PageNavi
better-wp-security	iThemes Security (formerly Better WP Security)
ml-slider	MetaSlider
black-studio-tinymce-widget	Black Studio TinyMCE Widget
wp-mail-smtp	WP Mail SMTP by WPForms
really-simple-ssl	Really Simple SSL
breadcrumb-navxt	Breadcrumb NavXT
shortcodes-ultimate	Shortcodes Ultimate
wp-optimize	WP-Optimize
tablepress	TablePress
googleanalytics	Google Analytics
loginizer	Loginizer
all-in-one-wp-security-and-firewall	All In One WP Security & Firewall
elementor	Elementor Page Builder
optinmonster	Popups by OptinMonster – Best WordPress Lead Generation Plugin
ewww-image-optimizer	EWWW Image Optimizer
backwpup	BackWPup – WordPress Backup Plugin
coming-soon	Coming Soon Page & Maintenance Mode by SeedProd
the-events-calendar	The Events Calendar
worker	ManageWP Worker
loco-translate	Loco Translate
force-regenerate-thumbnails	Force Regenerate Thumbnails
redux-framework	Redux Framework
broken-link-checker	Broken Link Checker
wp-maintenance-mode	WP Maintenance Mode
instagram-feed	Instagram Feed
wp-fastest-cache	WP Fastest Cache
autoptimize	Autoptimize
